va	vas
vacancy	vacancies
vacate	vacates
vac	vacs
vacate	vacating
vacation	vacationed
vacate	vacated
vacation	vacations
vacationer	vacationers
vacation	vacationing
vaccinate	vaccinating
vaccination	vaccinations
vaccinate	vaccinated
vaccinate	vaccinates
vaccine	vaccines
vaccinia	vaccinias
vacillate	vacillating
vacillation	vacillations
vacillate	vacillated
vacillate	vacillates
vacuity	vacuities
vacuole	vacuoles
vacuum	vacua
vacuum	vacuuming
vagabond	vagabonds
vacuum	vacuums
vacuum	vacuumed
vagary	vagaries
vaginosis	vaginoses
vagina	vaginae
vagrant	vagrants
vagina	vaginas
vague	vaguely
vague	vaguest
vail	vails
vague	vaguer
vain	vainer
vain	vainest
valance	valances
valediction	valedictions
vale	vales
vagus	vagi
valentine	valentines
valence	valences
valerian	valerians
valency	valencies
valet	valeting
valeting	valetings
validate	validated
validate	validates
validate	validating
validation	validations
validator	validators
valet	valeted
validity	validities
valise	valises
valine	valines
vallum	valla
valley	valleys
valuable	valuables
valuation	valuations
valet	valets
value	values
value	valuing
valuer	valuers
valve	valves
vamp	vamping
vamp	vamps
value	valued
vampire	vampires
vamp	vamped
vandal	vandals
vandalise	vandalised
vandalise	vandalising
vandalize	vandalized
vandalise	vandalises
vandalize	vandalizing
van	vans
vandalize	vandalizes
vane	vanes
vanguard	vanguards
vanilla	vanillas
vanish	vanishing
vanish	vanishes
vanquish	vanquished
vanish	vanished
vanquish	vanquishing
vanity	vanities
vanquish	vanquishs
vapor	vapors
vanquish	vanquishes
vaporisation	vaporisations
vaporise	vaporises
vaporise	vaporising
vaporise	vaporised
vaporiser	vaporisers
vaporization	vaporizations
vantage	vantages
vaporize	vaporized
vaporize	vaporizing
vapourise	vapourised
vapour	vapours
vaporize	vaporizes
vapourise	vapourising
variability	variabilities
variable	variables
vapourise	vapourises
variance	variances
variate	variates
variant	variants
variation	variations
variegate	variegates
variegate	variegating
variegate	variegated
variegation	variegations
variety	varieties
varix	varices
varnish	varnished
varnish	varnishes
varnish	varnishing
varsity	varsities
vary	varied
var	vars
varix	varixes
vary	varies
vary	varying
vascularity	vascularities
vasculature	vasculatures
vasculitis	vasculitides
vas	vasa
vasculitis	vasculitises
vaseline	vaselines
vasectomy	vasectomies
vasoconstriction	vasoconstrictions
vasodilation	vasodilations
vasodilatation	vasodilatations
vasodilator	vasodilators
vassal	vassals
vase	vases
vast	vaster
vasopressin	vasopressins
vat	vats
vastus	vasti
vault	vaulted
vaudeville	vaudevilles
vast	vastest
vault	vaulting
vaulter	vaulters
vaunt	vaunting
vaunt	vaunted
VC	VCs
vault	vaults
VDU	VDUs
VCR	VCRs
vaunt	vaunts
vector	vectors
vector	vectoring
veer	veering
vector	vectored
vega	vegas
veer	veered
vegan	vegans
vegetable	vegetables
vegetate	vegetated
vegetarian	vegetarians
vegetate	vegetating
vegetation	vegetations
vegetate	vegetates
vehicle	vehicles
veer	veers
veil	veiling
veil	veiled
veldt	veldts
vein	veins
velocity	velocities
velodrome	velodromes
vellum	vellums
velum	velums
vena	venae
vend	vended
vend	vending
velum	vela
vender	venders
vendetta	vendettas
veil	veils
vendor	vendors
veneer	veneered
veneer	veneering
venepuncture	venepunctures
vend	vends
venerate	venerated
venerate	venerating
Venetian	Venetians
Venezuelan	Venezuelans
venom	venoms
veneer	veneers
venerate	venerates
vent	vents
vent	vented
vent	venting
ventilate	ventilating
ventilation	ventilations
ventilator	ventilators
ventouse	ventouses
ventilate	ventilated
ventriloquist	ventriloquists
venture	ventured
ventilate	ventilates
ventricle	ventricles
venture	venturing
venturer	venturers
venue	venues
venturi	venturis
venture	ventures
verandah	verandahs
verb	verbs
veranda	verandas
verbalisation	verbalisations
verbalise	verbalises
vera	veras
verbalise	verbalising
verbalize	verbalizes
verbalize	verbalized
verbalize	verbalizing
verbose	verbosest
verbalise	verbalised
verbose	verboser
verge	verges
verdict	verdicts
vergence	vergences
verger	vergers
verge	verging
verification	verifications
verify	verified
verify	verifies
verifier	verifiers
verisimilitude	verisimilitudes
verity	verities
verify	verifying
vermiculite	vermiculites
vermouth	vermouths
vernacular	vernaculars
vernier	verniers
verruca	verrucas
versatility	versatilities
verse	verses
verruca	verrucae
version	versioned
version	versioning
verge	verged
versioning	versionings
vertebra	vertebrae
vert	verts
version	versions
vertebrate	vertebrates
vertex	vertices
vertebra	vertebras
vertical	verticals
vertigo	vertigoes
vertigo	vertigines
vertigo	vertigos
vesicle	vesicles
verum	verums
vertex	vertexes
vest	vested
vessel	vessels
vesper	vespers
vestibule	vestibules
vest	vests
vest	vesting
vestige	vestiges
vet	vets
vestment	vestments
vet	vetting
vestry	vestries
veteran	veterans
veterinarian	veterinarians
vetch	vetches
veto	vetoes
veto	vetoing
veto	vetos
veto	vetoed
vex	vexes
vet	vetted
vexation	vexations
viability	viabilities
vex	vexing
vial	vials
viaduct	viaducts
vibraphone	vibraphones
vibrate	vibrates
vibrate	vibrating
vibration	vibrations
vibrato	vibratos
vex	vexed
vibrate	vibrated
vibrator	vibrators
viburnum	viburnums
vice	vices
vicarage	vicarages
vice-chair	vice-chairs
vice-chancellor	vice-chancellors
vice-president	vice-presidents
vicinity	vicinities
vicissitude	vicissitudes
vicar	vicars
victim	victims
victimisation	victimisations
viceroy	viceroys
victimise	victimises
victimise	victimising
victimization	victimizations
victimize	victimizes
victimize	victimizing
victimize	victimized
Victorian	Victorians
victory	victories
victimise	victimised
victor	victors
victual	victualed
victual	victualled
victual	victualling
video	videoed
victual	victuals
victual	victualing
videocassette	videocassettes
videoconference	videoconferences
video-conference	video-conferences
video	videos
video	videoing
videogame	videogames
video-disc	video-discs
videography	videographies
videotape	videotaped
videotape	videotaping
videodisc	videodiscs
video-tape	video-taped
video-tape	video-taping
vie	vied
video-tape	video-tapes
vie	vying
videotape	videotapes
view	viewing
vie	vies
view	viewed
viewfinder	viewfinders
viewpoint	viewpoints
view-point	view-points
vigil	vigils
viewer	viewers
vigilante	vigilantes
vignette	vignettes
vignette	vignetting
vignetting	vignettings
Viking	Vikings
vignette	vignetted
vile	viler
vile	vilest
vilification	vilifications
vilify	vilifies
vilify	vilifying
villa	villas
vilify	vilified
village	villages
villager	villagers
villainy	villainies
view	views
villus	villi
vindicate	vindicated
vinaigrette	vinaigrettes
villain	villains
vindicate	vindicates
vindicate	vindicating
vineyard	vineyards
vine	vines
vinegar	vinegars
vino	vinos
vintage	vintages
vinyl	vinyls
vintner	vintners
viola	violas
vinification	vinifications
violate	violated
violate	violating
violation	violations
viol	viols
violator	violators
violin	violins
violate	violates
violinist	violinists
VIP	VIPs
violist	violists
virago	viragos
viper	vipers
violet	violets
virginal	virginals
Virgo	Virgos
virement	virements
virility	virilities
virgin	virgins
virologist	virologists
virion	virions
virology	virologies
virtuality	virtualities
viroid	viroids
virtuoso	virtuosi
virulence	virulences
virus	viruses
virtuoso	virtuosos
visa	visaing
virtue	virtues
visage	visages
viscose	viscoses
viscosity	viscosities
viscount	viscounts
visa	visas
visa	visaed
viscountess	viscountesses
visibility	visibilities
viscus	viscera
visible	visibler
visible	visiblest
vision	visioning
vise	vises
vision	visioned
visionary	visionaries
visit	visiting
visit	visits
visit	visited
vision	visions
visitor	visitors
visitation	visitations
vista	vistas
visual	visuals
visualisation	visualisations
visualise	visualises
visor	visors
visualise	visualised
visualise	visualising
visualization	visualizations
visualize	visualizing
visualize	visualizes
vita	vitae
visualize	visualized
vitalise	vitalises
vitalise	vitalised
vitality	vitalities
vitamin	vitamins
vitalise	vitalising
vitiate	vitiated
vitiate	vitiating
vitrification	vitrifications
vita	vitas
vitiate	vitiates
vitrify	vitrified
vitrify	vitrifying
vitrify	vitrifies
viva	vivas
vivarium	vivaria
vivarium	vivariums
vivify	vivified
vivify	vivifies
vivid	vivider
vivid	vividest
vivisectionist	vivisectionists
vixen	vixens
vivify	vivifying
vivisection	vivisections
V-neck	V-necks
vocabulary	vocabularies
vocalisation	vocalisations
vocalise	vocalised
vizier	viziers
vocalise	vocalises
vocalise	vocalising
vocalization	vocalizations
vocalize	vocalized
vocalist	vocalists
vocalize	vocalizing
vocal	vocals
vocalize	vocalizes
vocoder	vocoders
vocative	vocatives
vodka	vodkas
vocation	vocations
voice	voiced
voice	voicing
voice-over	voice-overs
void	voided
voice	voices
vogue	vogues
void	voids
void	voiding
volatility	volatilities
volatile	volatiles
vol	vols
vol-au-vent	vol-au-vents
volcano	volcanos
volcano	volcanoes
volley	volleying
volcanism	volcanisms
volley	volleys
volleyball	volleyballs
volt	volts
voltage	voltages
volume	volumes
voltmeter	voltmeters
voluntary	voluntaries
volunteer	volunteering
volunteer	volunteered
volley	volleyed
volunteer	volunteers
volvulus	volvuluses
vomit	vomited
vomit	vomiting
vomit	vomits
vomiting	vomitings
vortex	vortices
vortex	vortexes
volvulus	volvuli
vorticity	vorticities
vole	voles
votary	votaries
vote	voting
voter	voters
vouch	vouched
vouch	vouches
vouch	vouching
vouchsafe	vouchsafed
voucher	vouchers
vote	voted
vouchsafe	vouchsafes
vouchsafe	vouchsafing
vote	votes
vowel	vowels
vow	vowing
vox	voces
voxel	voxels
voyage	voyaged
voyage	voyaging
voyage	voyages
voyager	voyagers
voyeur	voyeurs
V-sign	V-signs
vulgarity	vulgarities
vulnerability	vulnerabilities
vow	vows
vulnerable	vulnerabler
vulture	vultures
vulnerable	vulnerablest
vulva	vulvae
vulva	vulvas
vow	vowed
