wack	wacks
wacky	wackier
wad	wadded
wacky	wackiest
wad	wadding
wad	wads
w	ws
waddle	waddles
waddle	waddling
waddle	waddled
wade	wades
wade	wading
wafer	wafers
wadi	wadis
wader	waders
waffle	waffles
waffle	waffled
waffle	waffling
wade	waded
waft	wafting
waft	wafted
waft	wafts
wag	wagging
wag	wags
wage	waged
wage	waging
wage-packet	wage-packets
wag	wagged
wager	wagers
wager	wagering
wager	wagered
waggle	waggled
waggle	waggles
waggle	waggling
wagon	wagons
waggon	waggons
wagtail	wagtails
wage	wages
wail	wailing
wail	wails
wainscot	wainscots
waistband	waistbands
wail	wailed
waistcoat	waistcoats
waif	waifs
waistline	waistlines
wait	waited
waist	waists
waiter	waiters
wait	waiting
waiting-room	waiting-rooms
waive	waived
waitress	waitresses
wait	waits
waive	waives
waive	waiving
wake	waked
waiver	waivers
wake	wakes
wake	woken
wakefield	wakefields
wakeboard	wakeboards
waken	wakening
waken	wakened
waken	wakens
wakeup	wakeups
wale	waled
wale	waling
wake	waking
walk	walking
walk	walked
walkabout	walkabouts
walker	walkers
wale	wales
walkie-talkie	walkie-talkies
walk	walks
Walkman	Walkmans
walkout	walkouts
walk-out	walk-outs
walkover	walkovers
walkway	walkways
wall	walled
wall	walling
wallboard	wallboards
wallaby	wallabies
wall	walls
wallet	wallets
wallflower	wallflowers
wallop	walloped
wake	woke
wallop	wallops
walkman	walkmen
wallop	walloping
walloping	wallopings
wallpaper	wallpapered
wallow	wallows
walk-up	walk-ups
wallow	wallowing
wallpaper	wallpapering
wallpaper	wallpapers
walnut	walnuts
wally	wallies
walrus	walruses
waltz	waltzing
wan	wanned
waltz	waltzed
wallow	wallowed
waltz	waltzes
wan	wanning
wan	wans
wand	wands
wander	wandered
wander	wandering
wan	wannest
wander	wanders
wandering	wanderings
wane	waned
wane	waning
wane	wanes
wangle	wangled
wangle	wangles
wangle	wangling
wanderer	wanderers
wank	wanked
wank	wanking
wank	wanks
wanker	wankers
want	wanted
want	wanting
war	warred
want	wants
war	warring
war	wars
warble	warbled
warble	warbles
warble	warbling
warbler	warblers
ward	warded
war-criminal	war-criminals
ward	wards
warder	warders
wan	wanner
ward	warding
wardress	wardresses
wardship	wardships
warden	wardens
wardrobe	wardrobes
ware	wares
ware	waring
warehouse	warehoused
warehouse	warehouses
warehouse	warehousing
warehousekeeper	warehousekeepers
warfarin	warfarins
ware	wared
warehouseman	warehousemen
warlock	warlocks
warfare	warfares
warm	warmer
warm	warmest
warm	warming
warm	warms
warmer	warmers
warmonger	warmongers
warmth	warmths
warm-up	warm-ups
warn	warned
warn	warning
warhead	warheads
warn	warns
warp	warped
warp	warping
warp	warps
warrant	warranted
warrant	warranting
warning	warnings
warrant	warrants
warrantee	warrantees
warranty	warranties
warren	warrens
warship	warships
wart	warts
warthog	warthogs
wary	warier
wary	wariest
wasabi	wasabis
warrior	warriors
wash	washed
wash	washing
washbowl	washbowls
washbasin	washbasins
washcloth	washcloths
washday	washdays
washer	washers
washerwoman	washerwomen
wash	washes
washout	washouts
wash-out	wash-outs
washroom	washrooms
wasp	wasps
washstand	washstands
waste	wasted
wastage	wastages
waste	wastes
waste	wasting
wastebasket	wastebaskets
warm	warmed
washing-up	washing-ups
wasteland	wastelands
wastebin	wastebins
wastewater	wastewaters
watch	watched
waster	wasters
watch	watching
watch	watches
watchband	watchbands
watch-chain	watch-chains
watchdog	watchdogs
watchmaker	watchmakers
watcher	watchers
watchman	watchmen
watchtower	watchtowers
watchword	watchwords
watchstrap	watchstraps
water	watering
water	waters
wat	wats
waterbath	waterbaths
water	watered
waterbirth	waterbirths
water-closet	water-closets
waterbed	waterbeds
watercolor	watercolors
water-colour	water-colours
watercourse	watercourses
water-course	water-courses
watercolour	watercolours
waterfowl	waterfowls
waterfront	waterfronts
waterhole	waterholes
water-ice	water-ices
waterbody	waterbodies
waterjet	waterjets
water-lily	water-lilies
waterfall	waterfalls
water-line	water-lines
waterlily	waterlilies
waterman	watermen
watermark	watermarked
watermark	watermarking
waterline	waterlines
water-meadow	water-meadows
watermill	watermills
watermelon	watermelons
waterproof	waterproofed
waterproof	waterproofing
waterproof	waterproofs
watershed	watersheds
water-ski	water-skied
water-ski	water-skis
waterspout	waterspouts
watermark	watermarks
waterway	waterways
water-ski	water-skiing
watt	watts
waterwheel	waterwheels
wattle	wattles
wattage	wattages
wave	waves
watery	waterier
waveband	wavebands
wavefront	wavefronts
wave	waved
wave	waving
waveform	waveforms
wavelength	wavelengths
wavefunction	wavefunctions
waveguide	waveguides
wavenumber	wavenumbers
waver	wavering
