y	ys
yacht	yachting
yachting	yachtings
yachtsman	yachtsmen
yacht	yachts
yacht	yachted
yak	yaks
yachtswoman	yachtswomen
yammer	yammered
yammer	yammering
yammer	yammers
yam	yams
yang	yangs
Yankee	Yankees
yank	yanked
yank	yanking
yap	yaped
yap	yapped
yap	yapping
yap	yaping
yank	yanks
yardstick	yardsticks
yard	yards
yarn	yarning
yap	yaps
yarn	yarned
yarn	yarns
yashmak	yashmaks
yaw	yawed
yaw	yawing
yawn	yawning
y-axis	y-axides
yawn	yawned
yawn	yawns
yaw	yaws
year	years
yearling	yearlings
yd	yds
yearbook	yearbooks
yearn	yearned
yearn	yearning
yearning	yearnings
yearn	yearns
yeasty	yeastier
yell	yelled
yeast	yeasts
yellow	yellowed
yell	yelling
yellow	yellowest
yell	yells
yellow	yellowing
yellow	yellows
yellow	yellower
yelp	yelped
yellowhammer	yellowhammers
yelp	yelping
yelp	yelps
yen	yens
yeoman	yeomen
Yemeni	Yemenis
yes	yeah
yes	yeses
yes-man	yes-men
yesterday	yesterdays
yesteryear	yesteryears
yield	yielded
yes	yesses
yew	yews
yeti	yetis
yield	yielding
yip	yips
yield	yields
yob	yobs
YMCA	YMCAs
yobbo	yobbos
yodel	yodelling
yodel	yodelled
yodel	yodels
yoghourt	yoghourts
yoghurt	yoghurts
ym	yms
yogi	yogis
yogurt	yogurts
yoke	yoking
yoke	yoked
yokel	yokels
yolk	yolks
yorker	yorkers
you	thee
yoke	yokes
young	younger
young	youngest
youngster	youngsters
yowl	yowled
yourself	yourselves
yowl	yowling
yowl	yowls
youth	youths
yo-yo	yo-yoes
yr	yrs
yo-yo	yo-yos
Yugoslav	Yugoslavs
you	ya
Yule	Yules
yuletide	yuletides
yuppy	yuppies
yuppie	yuppies
YWCA	YWCAs
yucca	yuccas
