zander	zanders
Zambian	Zambians
zap	zapped
zany	zanier
zany	zaniest
Zairean	Zaireans
zap	zapping
zealot	zealots
zebrafish	zebrafishes
zee	zees
zeitgeist	zeitgeists
zap	zaps
zenith	zeniths
zephyr	zephyrs
zeolite	zeolites
zero	zeroed
zero	zeroing
zero	zeroes
zebra	zebras
zigzag	zigzagged
zidovudine	zidovudines
zigzag	zigzagging
zig-zag	zig-zagged
zig-zag	zig-zagging
zinc	zincs
zero	zeros
zing	zings
Zimbabwean	Zimbabweans
zip	zipping
Zionist	Zionists
zip	zipped
zigzag	zigzags
zig-zag	zig-zags
zirconium	zirconia
zipper	zippers
zircon	zircons
zither	zithers
zodiac	zodiacs
zona	zonae
zonation	zonations
zone	zoned
zone	zones
zoo	zoos
zoologist	zoologists
zone	zoning
zombie	zombies
zoology	zoologies
zip	zips
zoom	zoomed
zoom	zooms
zoom	zooming
zooplankton	zooplanktons
zoospore	zoospores
zucchini	zucchinis
zoonose	zoonoses
zoonosis	zoonoses
Zulu	Zulus
zygote	zygotes
