kabuki	kabukis
kafkiano	kafkiana
kainita	kainitas
kafkiano	kafkianas
kaiot	kaiots
káiser	káiseres
kafkiano	kafkianos
káiser	káisers
kakemono	kakemonos
kamacita	kamacitas
kaki	kakis
kamikaze	kamikazes
kampucheano	kampucheanas
kampucheano	kampucheanos
kampucheano	kampucheana
kame	kames
kanara	kanaras
kantiano	kantiana
kantiano	kantianas
kan	kanes
kantiano	kantianos
kantismo	kantismos
kapoc	kapocs
kappa	kappas
karakul	karakules
kárate	kárates
karateka	karatekas
karateca	karatecas
karma	karmas
karst	karstes
kárstico	kárstica
kárstico	kársticas
karate	karates
kárstico	kársticos
karstología	karstologías
karstificación	karstificaciones
kaón	kaones
kasolita	kasolitas
kart	karts
katiuska	katiuskas
kayak	kayaks
kayac	kayacs
kayak-polo	kayak-polos
kayakista	kayakistas
kayak	kayakes
kazakhstano	kazakhstana
kazakhstano	kazakhstanas
kéfir	kefirs
kazakhstano	kazakhstanos
kelvin	kelvins
kéfir	kéfires
kenaf	kenafs
kéfir	kéfirs
keniano	kenianas
keniata	keniatas
kenotrón	kenotrones
keniano	keniana
kentismo	kentismos
kernita	kernitas
kermesse	kermesses
ketch	ketches
keroseno	kerosenos
keynesiano	keynesianas
keynesiano	keynesiana
keynesiano	keynesianos
ketchup	ketchups
kianización	kianizaciones
khmer	khmeres
keniano	kenianos
kianización	kianizaciónes
kibbutz	kibbutzes
kibbutz	kibbutcs
khmer	khmers
kibbutz	kibbutces
kieserita	kieseritas
kieselgur	kieselgures
kiloamperio	kiloamperios
kilo	kilos
kílix	kílixes
kilobase	kilobases
kilobaudio	kilobaudios
kilobit	kilobits
kilobyte	kilobytes
kilocaloría	kilocalorías
kilocaloría	kcal
kilobit	kilobites
kilociclo	kilociclos
kilohercio	kHz
kilográmetro	kilográmetros
kilogramo	kilogramos
kilogramo	kg
kilohercio	kilohercios
kilohertzio	kilohertzios
kilohercio	kilohertz
kilojulio	kilojoules
kilojulio	kilojoule
kilojulio	kilojulios
kilohertz	kilohertces
kilolitro	kl
kilolitro	kilolitros
kilometraje	kilometrajes
kilometrar	kilometraba
kilojulio	kJ
kilometrar	kilometra
kilometrar	kilometrabais
kilometrar	kilometrábamos
kilometrar	kilometrad
kilometrar	kilometraban
kilometrar	kilometrada
kilometrar	kilometradas
kilometrar	kilometrado
kilometrar	kilometrabas
kilometrar	kilometramos
kilometrar	kilometran
kilometrar	kilometráis
kilometrar	kilometrados
kilometrar	kilometrará
kilometrar	kilometrarais
kilometrar	kilometráramos
kilometrar	kilometrando
kilometrar	kilometrarán
kilometrar	kilometrara
kilometrar	kilometraras
kilometrar	kilometrarás
kilometrar	kilometraré
kilometrar	kilometrareis
kilometrar	kilometraréis
kilometrar	kilometrare
kilometrar	kilometraran
kilometrar	kilometraren
kilometrar	kilometraremos
kilometrar	kilometráremos
kilometrar	kilometraríamos
kilometrar	kilometraríais
kilometrar	kilometraría
kilometrar	kilometrarían
kilometrar	kilometraron
kilometrar	kilometrarías
kilometrar	kilometrares
kilometrar	kilometrase
kilometrar	kilometraseis
kilometrar	kilometrásemos
kilometrar	kilometras
kilometrar	kilometrasen
kilometrar	kilometrases
kilometrar	kilometrasteis
kilometrar	kilometraste
kilometrar	kilometre
kilometrar	kilometréis
kilometrar	kilometren
kilometrar	kilometremos
kilometrar	kilometro
kilometrar	kilometré
kilométrico	kilométrica
kilométrico	kilométricas
kilometrar	kilometró
kilométrico	kilométricos
kilómetro	km
kilometrar	kilometres
kilonewton	kilonéwtones
kiloohmio	kiloohmios
kiloocteto	kilooctetos
kilopascal	kilopascales
kilopond	kiloponds
kilómetro	kilómetros
kilopondímetro	kilopondímetros
kilotón	kilotones
kilopond	kilopondes
kilopondio	kilopondios
kilovatio	kilovatios
kilovatiohora	kilovatioshora
kilovar	kilovares
kilovoltio	kilovoltios
kilovar	kilovars
kilowat	kilowates
kilt	kilts
kilowat	kilowats
kimberlita	kimberlitas
kilt	kiltes
kimono	kimonos
kinetoscopio	kinetoscopios
kinescopio	kinescopios
kiosco	kioscos
kinésica	kinésicas
kiowa	kiowas
kip	kips
kina	kinas
kirieleisón	kirieleisones
kirsch	kirschs
kirie	kiries
kitsch	kitschs
kit	kits
klistrón	klistrones
knockout	knockouts
kiwi	kiwis
know-how	know-hows
knock-out	knock-outs
kip	kipes
koala	koalas
kohl	kohles
kob	kobs
kob	kobes
koiné	koinés
koljos	kóljoses
koljos	koljoses
kore	kores
koljos	koljoz
koljos	koljós
kornerupina	kornerupinas
krausismo	krausismos
krona	kronas
krausista	krausistas
krak	krakes
kriptón	kriptones
kroneckeriano	kroneckeriana
kroneckeriano	kroneckerianas
kroneckeriano	kroneckerianos
kudú	kudúes
kronprinz	kronprinces
kudú	kudús
kulak	kulaks
kuncita	kuncitas
kundi	kundis
kuna	kunas
kunzita	kunzitas
kurchatovio	kurchatovios
kurdo	kurda
kupon	kupones
kurdo	kurdos
krak	kraks
kurdo	kurdas
kuwaití	kuwaitíes
kuwaití	kuwaitíses
kwacha	kwachas
kuwaití	kuwaitís
kwanza	kwanzas
kyanita	kyanitas
kyat	kyates
kuros	kuroi
kyat	kyats
