ábaco	ábacos
ábrego	ábregos
ábsida	ábsidas
ábside	ábsides
ácana	ácanas
ácaro	ácaros
ácido	ácida
ácido	ácidas
ácido	ácidos
ácido	cidos
ácimo	ácima
ácimo	ácimas
ácimo	ácimos
ácino	ácinos
ácoro	ácoros
ácrata	ácratas
ácrico	ácrica
ácrico	ácricas
ácrico	ácricos
ácrono	ácrona
ácrono	ácronas
ácrono	ácronos
ácueo	ácuea
ácueo	ácueas
ácueo	ácueos
ádito	áditos
áfido	áfidos
áfilo	áfila
áfilo	áfilas
áfilo	áfilos
ágamo	ágama
ágamo	ágamas
ágape	ágapes
ágamo	ágamos
ágata	ágatas
ágida	ágidas
ágil	ágiles
ágora	ágoras
ágora	gora
ágrafe	ágrafes
ágrafo	ágrafa
ágrafo	ágrafas
ágrafo	ágrafos
ágrico	ágrica
ágrico	ágricas
ágrico	ágricos
águila	águilas
álabe	álabes
álaga	álagas
álalo	álala
álalo	álalas
álalo	álalos
álamo	álamos
álbico	álbica
álbico	álbicas
álbico	álbicos
álbum	álbumes
álcali	álcalis
álcido	álcidos
álfico	álfica
álfico	álficas
álfico	álficos
álgebra	álgebras
álgido	álgida
álgido	álgidas
álgido	álgidos
áloe	áloes
álterego	álteregos
álveo	álveos
ámbar	ámbares
ámbito	ámbitos
ánade	ánades
áncora	áncoras
ándico	ándicas
ándico	ándica
ándico	ándicos
ándida	ándidas
ándito	ánditos
ánfora	ánforas
ángel	ángeles
ángstrom	ángstroms
ángulo	ángulos
ánima	ánimas
ánimo	ánimos
ánodo	ánodos
ánsar	ánsares
ántrax	ántraxes
ánulo	ánulos
ápeiron	ápeirones
ápex	ápexes
ápice	ápices
ápido	ápidos
ápoca	ápocas
ápodo	ápoda
ápodo	ápodos
ápodo	ápodas
ápside	ápsides
áptero	áptera
áptero	ápteras
áptero	ápteros
árabe	árabes
árbitro	árbitra
árbitro	árbitras
árbitro	árbitros
árbol	árboles
área	áreas
árgana	árganas
árgico	árgica
árgico	árgicas
árgico	árgicos
árido	árida
árido	áridas
árido	áridos
árnica	árnicas
ártico	ártica
ártico	árticas
ártico	árticos
áscari	áscaris
áspero	áspera
áspero	ásperas
áspero	ásperos
áspid	áspides
ástaco	ástacos
ático	ática
ático	áticas
ático	áticos
átomo	átomos
átono	átona
átono	átonas
átono	átonos
áulico	áulica
áulico	áulicas
áulico	áulicos
áureo	áurea
áureo	áureas
áureo	áureos
áurica	áuricas
áurico	áuricas
áurico	áurica
áurico	áuricos
ávaro	ávaros
ávido	ávida
ávido	ávidas
ávido	ávidos
ázimo	ázima
ázimo	ázimas
ázimo	ázimos
