ébano	ébanos
écade	écades
éfeta	éfetas
éforo	éforos
égida	égidas
égloga	églogas
él	ella
él	ello
élite	élites
élitro	élitros
émbolo	émbolos
émico	émica
émico	émicas
émico	émicos
émulo	émula
émulo	émulas
émulo	émulos
éneo	énea
éneo	éneas
éneo	éneos
éntico	éntica
éntico	énticas
éntico	énticos
épica	épicas
épico	épica
épico	épicas
épico	épicos
época	épocas
épsilon	épsilones
épsilon	épsilons
épulis	épulises
équido	équidos
équite	équites
érebo	érebos
éster	ésteres
éter	éteres
ética	éticas
ético	ética
ético	éticos
ético	éticas
étimo	étimos
étnico	étnica
étnico	étnicas
étnico	étnicos
éuscaro	éuscara
éuscaro	éuscaras
éustilo	éustilos
éuscaro	éuscaros
éxito	éxitos
éxodo	éxodos
