óbice	óbices
óbito	óbitos
óbolo	óbolos
ócrico	ócrica
ócrico	ócricas
ócrico	ócricos
óctuple	óctuples
óctuplo	óctupla
óctuplo	óctuplas
óctuplo	óctuplos
óhmetro	óhmetros
óhmico	óhmicas
óhmico	óhmica
óhmico	óhmicos
óleo	óleos
óleum	óleums
ómicron	ómicrons
ómnibus	omnibús
ómnibus	omnibuses
ómnibus	ómnibuses
ómnium	ómniums
ópalo	ópalos
ópera	óperas
óptica	ópticas
óptico	ópticas
óptico	óptica
óptico	ópticos
órbita	órbitas
órdago	órdagos
órfico	órfica
órfico	órficas
órfico	órficos
órgano	órganos
órtico	órtica
órtico	órticas
órtico	órticos
ósculo	ósculos
óseo	ósea
óseo	óseas
óseo	óseos
ósmico	ósmica
ósmico	ósmicas
óstracon	óstracones
ósmico	ósmicos
ótico	ótica
ótico	óticas
ótico	óticos
óvalo	óvalos
óvolo	óvolos
óvulo	óvulos
óxico	óxica
óxico	óxicas
óxico	óxicos
óxido	óxidos
