a posteriori	à posteriori
a priori	à priori
abaissé	abaissée
abaissant	abaissante
abaissé	abaissées
abaissement	abaissements
abaissé	abaissés
abaisser	abaissaient
abaisser	abaissai
abaisser	abaissais
abaisser	abaissâmes
abaisser	abaissant
abaisser	abaissas
abaisser	abaissasse
abaisser	abaissassent
abaisser	abaissasses
abaisser	abaissassiez
abaisser	abaissassions
abaisser	abaissât
abaisser	abaissâtes
abaisser	abaisse
abaisser	abaissé
abaisser	abaissée
abaisser	abaissées
abaisser	abaissent
abaisser	abaissa
abaisser	abaissera
abaisser	abaisseraient
abaisser	abaisserai
abaisser	abaisserais
abaisser	abaissait
abaisser	abaisseras
abaisser	abaisserait
abaisser	abaissèrent
abaisser	abaisseriez
abaisser	abaisserions
abaisser	abaisserez
abaisser	abaisseront
abaisser	abaisserons
abaisser	abaissés
abaisser	abaissez
abaisser	abaissiez
abaisser	abaissions
abaisser	abaissons
abaisser	abaisses
abandonné	abandonnée
abandonné	abandonnées
abalone	abalones
abandonné	abandonnés
abandon	abandons
abandonner	abandonnai
abandonner	abandonnais
abandonner	abandonnaient
abandonner	abandonna
abandonner	abandonnâmes
abandonner	abandonnas
abandonner	abandonnant
abandonner	abandonnasse
abandonner	abandonnassent
abandonner	abandonnait
abandonner	abandonnassiez
abandonner	abandonnât
abandonner	abandonnassions
abandonner	abandonne
abandonner	abandonnasses
abandonner	abandonnâtes
abandonner	abandonnées
abandonner	abandonnée
abandonner	abandonné
abandonner	abandonnera
abandonner	abandonneraient
abandonner	abandonnerais
abandonner	abandonnerait
abandonner	abandonnerai
abandonner	abandonnèrent
abandonner	abandonnent
abandonner	abandonneras
abandonner	abandonneriez
abandonner	abandonnerons
abandonner	abandonnerions
abandonner	abandonnes
abandonner	abandonneront
abandonner	abandonnez
abandonner	abandonnés
abandonner	abandonnerez
abandonner	abandonniez
abandonneur	abandonneurs
abaque	abaques
abandonner	abandonnions
abandonner	abandonnons
abasourdir	abasourdi
abasourdir	abasourdie
abasourdi	abasourdis
abasourdir	abasourdies
abasourdir	abasourdîmes
abasourdir	abasourdira
abasourdir	abasourdirai
abasourdir	abasourdirais
abasourdir	abasourdiraient
abasourdir	abasourdiras
abasourdir	abasourdirait
abasourdir	abasourdirez
abasourdir	abasourdiriez
abasourdir	abasourdirions
abasourdir	abasourdirons
abasourdir	abasourdiront
abasourdir	abasourdis
abasourdi	abasourdie
abasourdir	abasourdirent
abasourdir	abasourdissais
abasourdir	abasourdissaient
abasourdir	abasourdissait
abasourdir	abasourdissent
abasourdir	abasourdissant
abasourdir	abasourdissez
abasourdir	abasourdisses
abasourdir	abasourdissiez
abasourdir	abasourdissions
abasourdir	abasourdissons
abasourdir	abasourdît
abasourdir	abasourdisse
abasourdir	abasourdîtes
abat	abats
abâtardi	abâtardie
abasourdissant	abasourdissants
abasourdir	abasourdit
abâtardir	abâtardies
abâtardir	abâtardîmes
abâtardir	abâtardira
abâtardir	abâtardie
abâtardir	abâtardirai
abâtardir	abâtardiraient
abâtardir	abâtardi
abâtardir	abâtardiras
abâtardir	abâtardirait
abâtardir	abâtardirent
abâtardir	abâtardirais
abâtardir	abâtardirions
abâtardir	abâtardirons
abâtardir	abâtardirez
abâtardir	abâtardiriez
abâtardir	abâtardissaient
abâtardir	abâtardis
abâtardir	abâtardissais
abâtardir	abâtardissait
abâtardir	abâtardiront
abâtardir	abâtardissent
abâtardir	abâtardisses
abâtardir	abâtardisse
abâtardir	abâtardissez
abâtardir	abâtardissant
abâtardir	abâtardissons
abâtardir	abâtardissions
abâtardir	abâtardît
abâtardir	abâtardissiez
abattage	abattages
abâtardir	abâtardîtes
abâtardir	abâtardit
abattement	abattements
abattoir	abattoirs
abattre	abat
abattre	abats
abattre	abattaient
abattre	abattais
abattre	abattait
abattre	abattant
abattre	abatte
abattre	abattent
abattre	abattes
abattre	abattez
abattre	abattiez
abattre	abattîmes
abattant	abattants
abattre	abattions
abattre	abattirent
abatteur	abatteurs
abattre	abattissent
abattre	abattis
abattre	abattisse
abattre	abattissiez
abattre	abattit
abattre	abattisses
abattre	abattissions
abattre	abattîtes
abattre	abattra
abattre	abattrai
abattre	abattraient
abattre	abattons
abattre	abattrais
abattre	abattît
abattre	abattrez
abattre	abattrait
abattre	abattrions
abattre	abattrons
abattre	abattras
abattre	abattriez
abattre	abattue
abattre	abattront
abattre	abattues
abattu	abattue
abattre	abattus
abattre	abattu
abatture	abattures
abattu	abattus
abattu	abattues
abbatial	abbatiale
abbatial	abbatiaux
abbé	abbés
abbaye	abbayes
abbé	abbesse
abbé	abbesses
abcéder	abcédai
abcéder	abcédaient
abcéder	abcéda
abcéder	abcédais
abcéder	abcédâmes
abbatial	abbatiales
abcéder	abcédait
abcéder	abcédant
abcéder	abcédasse
abcéder	abcédassent
abcéder	abcédas
abcéder	abcédasses
abcéder	abcédassiez
abcéder	abcédassions
abcéder	abcédé
abcéder	abcédâtes
abcéder	abcédée
abcéder	abcédât
abcéder	abcédées
abcéder	abcèdent
abcéder	abcéderai
abcéder	abcéderaient
abcéder	abcède
abcéder	abcédera
abcéder	abcéderait
abcéder	abcéderais
abcéder	abcédèrent
abcéder	abcéderiez
abcéder	abcéderions
abcéder	abcéderez
abcéder	abcéderons
abcéder	abcédés
abcéder	abcéderont
abcéder	abcèdes
abcéder	abcéderas
abcéder	abcédiez
abcéder	abcédions
abdication	abdications
abdiquer	abdiqua
abcéder	abcédez
abcéder	abcédons
abdiquer	abdiquai
abdiquer	abdiquaient
abdiquer	abdiquais
abdiquer	abdiquâmes
abdiquer	abdiquant
abdiquer	abdiquasse
abdiquer	abdiquait
abdiquer	abdiquassent
abdiquer	abdiquassiez
abdiquer	abdiquas
abdiquer	abdiquassions
abdiquer	abdiquasses
abdiquer	abdiquât
abdiquer	abdiquâtes
abdiquer	abdique
abdiquer	abdiquée
abdiquer	abdiquées
abdiquer	abdiquera
abdiquer	abdiquerai
abdiquer	abdiqueraient
abdiquer	abdiquerais
abdiquer	abdiquerait
abdiquer	abdiqué
abdiquer	abdiqueras
abdiquer	abdiquerez
abdiquer	abdiquèrent
abdiquer	abdiquent
abdiquer	abdiquerions
abdiquer	abdiqueront
abdiquer	abdiquerons
abdiquer	abdiqués
abdiquer	abdiqueriez
abdiquer	abdiques
abdiquer	abdiquiez
abdiquer	abdiquions
abdomen	abdomens
abdiquer	abdiquons
abdominal	abdominale
abdominal	abdominales
abécédaire	abécédaires
abdominal	abdominaux
abdiquer	abdiquez
aberrant	aberrantes
abeille	abeilles
aberrant	aberrants
aberrer	aberrant
aberrant	aberrante
aberration	aberrations
abêti	abêties
abêtir	abêtie
abêtir	abêties
abêtir	abêti
abêtir	abêtîmes
abêtir	abêtira
abêtir	abêtirai
abêtir	abêtiraient
abêtir	abêtirais
abêtir	abêtiras
abêtir	abêtirait
abêtir	abêtirent
abêtir	abêtirez
abêtir	abêtiriez
abêtir	abêtirions
abêti	abêtis
abêtir	abêtirons
abêtir	abêtissaient
abêtir	abêtissais
abêtir	abêtiront
abêtir	abêtissait
abêtir	abêtissant
abêtir	abêtissent
abêtir	abêtisses
abêtir	abêtis
abêtir	abêtisse
abêtir	abêtissions
abêtir	abêtissons
abêtir	abêtissiez
abêtir	abêtît
abêtir	abêtissez
abhorré	abhorrée
abêtir	abêtit
abêtir	abêtîtes
abhorrer	abhorraient
abhorrer	abhorra
abhorrer	abhorrai
abhorrer	abhorrais
abhorrer	abhorrâmes
abhorrer	abhorrait
abhorrer	abhorrasse
abhorrer	abhorrassent
abhorrer	abhorrasses
abhorrer	abhorrassiez
abhorrer	abhorrassions
abhorrer	abhorrât
abhorrer	abhorrâtes
abhorrer	abhorre
abhorrer	abhorré
abhorrer	abhorrée
abhorrer	abhorrées
abhorrer	abhorras
abhorrer	abhorrent
abhorrer	abhorrerai
abhorrer	abhorrant
abhorrer	abhorreraient
abhorrer	abhorrera
abhorrer	abhorrerais
abhorrer	abhorrèrent
abhorrer	abhorrerez
abhorrer	abhorreras
abhorrer	abhorrerait
abhorrer	abhorrerions
abhorrer	abhorreront
abhorrer	abhorreriez
abhorrer	abhorres
abhorrer	abhorrés
abhorrer	abhorriez
abhorrer	abhorrerons
abhorrer	abhorrons
