baba	babas
babil	babils
babillard	babillarde
babélien	babélienne
babiller	babillai
babiller	babilla
babillage	babillages
babiller	babillaient
babiller	babillais
babiller	babillâmes
babiller	babillait
babiller	babillasse
babiller	babillassent
babiller	babillant
babiller	babillasses
babiller	babillassions
babiller	babillassiez
babiller	babillas
babiller	babillât
babiller	babillâtes
babiller	babille
babiller	babillé
babiller	babillerai
babiller	babilleraient
babiller	babillent
babiller	babilleras
babiller	babillèrent
babiller	babillera
babiller	babillerait
babiller	babilleriez
babiller	babillerions
babiller	babillerez
babiller	babilleront
babiller	babillerons
babiller	babillerais
babiller	babillez
babiller	babilles
babiller	babilliez
babiller	babillions
babiole	babioles
babiller	babillons
babouche	babouches
bâbord	bâbords
babine	babines
babouchka	babouchkas
babouin	babouins
babouin	babouines
babouviste	babouvistes
baby	babys
babouin	babouine
babylonien	babylonienne
babylonien	babyloniennes
baby-sitter	baby-sitters
babylonien	babyloniens
baccalauréat	baccalauréats
baccara	baccaras
baby	babies
baccarat	baccarats
bacchanale	bacchanales
bachagha	bachaghas
bacchante	bacchantes
bâche	bâches
bâché	bâchée
bâché	bâchées
bachelier	bachelière
bac	bacs
bachelier	bacheliers
bachelier	bachelières
bâcher	bâché
bâché	bâchés
bâcher	bâche
bâcher	bâchées
bachique	bachiques
bachoter	bachotaient
bachot	bachots
bachoter	bachotant
bacillaire	bacillaires
bachoter	bachotait
bâcler	bâcla
bacille	bacilles
bâcler	bâclai
bâcher	bâchée
bâcler	bâclaient
bâcler	bâclais
bâcler	bâclâmes
bâcler	bâclas
bâcler	bâclant
bâcler	bâclasse
bâcler	bâclasses
bâcler	bâclassent
bâcler	bâclassiez
bâcler	bâclassions
bâcler	bâclâtes
bâcler	bâcle
bâcler	bâclât
bâcler	bâclait
bâcler	bâclé
bâcler	bâclée
bâcler	bâclées
bâcler	bâclerai
bâcler	bâcleraient
bâcler	bâclerais
bâcler	bâclerait
bâcler	bâcleras
bâcler	bâclera
bâcler	bâclèrent
bâcler	bâclent
bâcler	bâclerez
bâcler	bâclerions
bâcler	bâcleront
bâcler	bâcleriez
bâcler	bâclés
bâcler	bâclerons
bâcler	bâcliez
bâcler	bâclions
bâcler	bâclez
bâcler	bâclons
