habile	habiles
habilitation	habilitations
habilité	habilitée
habileté	habiletés
habilité	habilités
habiliter	habilita
habilité	habilitées
habiliter	habilitaient
habiliter	habilitais
habiliter	habilitâmes
habiliter	habilitai
habiliter	habilitait
habiliter	habilitasse
habiliter	habilitassent
habiliter	habilitant
habiliter	habilitasses
habiliter	habilitassiez
habiliter	habilitassions
habiliter	habilitas
habiliter	habilitât
habiliter	habilitâtes
habiliter	habilitée
habiliter	habilitées
habiliter	habilitent
habiliter	habilite
habiliter	habilité
habiliter	habiliteraient
habiliter	habilitera
habiliter	habiliterais
habiliter	habiliterai
habiliter	habiliterait
habiliter	habilitèrent
habiliter	habiliterez
habiliter	habiliteras
habiliter	habiliteriez
habiliter	habiliterons
habiliter	habiliterions
habiliter	habiliteront
habiliter	habilités
habiliter	habilitiez
habiliter	habilitions
habiliter	habilitons
habiliter	habilites
habillage	habillages
habillé	habillée
habiliter	habilitez
habillement	habillements
habillé	habillés
habillé	habillées
habiller	habillaient
habiller	habillai
habiller	habillais
habiller	habillâmes
habiller	habillant
habiller	habillait
habiller	habillasse
habiller	habillassent
habiller	habillas
habiller	habillasses
habiller	habillassions
habiller	habillassiez
habiller	habillâtes
habiller	habille
habiller	habillât
habiller	habillée
habiller	habillées
habiller	habillent
habiller	habillera
habiller	habilla
habiller	habillé
habiller	habillerais
habiller	habilleraient
habiller	habilleras
habiller	habillerait
habiller	habillèrent
habiller	habilleriez
habiller	habillerai
habiller	habillerons
habiller	habillerez
habiller	habilleront
habiller	habillés
habiller	habillerions
habiller	habilliez
habiller	habillions
habiller	habillons
habiller	habillez
habilleur	habilleurs
habilleur	habilleuses
habiller	habilles
habilleur	habilleuse
habit	habits
habitabilité	habitabilités
habitant	habitante
habitable	habitables
habitacle	habitacles
habitant	habitants
habitant	habitantes
habitation	habitations
habité	habitées
habité	habités
habitat	habitats
habiter	habitai
habité	habitée
habiter	habitais
habiter	habitaient
habiter	habitâmes
habiter	habita
habiter	habitait
habiter	habitasse
habiter	habitassent
habiter	habitasses
habiter	habitassiez
habiter	habitassions
habiter	habitât
habiter	habitâtes
habiter	habite
habiter	habitas
habiter	habitée
habiter	habitées
habiter	habitent
habiter	habité
habiter	habitant
habiter	habiterai
habiter	habiteraient
habiter	habiterait
habiter	habitera
habiter	habiteras
habiter	habitèrent
habiter	habiterez
habiter	habiteriez
habiter	habiterions
habiter	habiterons
habiter	habiterais
habiter	habités
habiter	habiteront
habiter	habitez
habiter	habitiez
habiter	habitions
habitude	habitudes
habiter	habitons
habitué	habituée
habitué	habituées
habituel	habituelle
habiter	habites
habituel	habituelles
habitué	habitués
habituer	habitua
habituer	habituai
habituer	habituaient
habituer	habituait
habituer	habituâmes
habituer	habituant
habituer	habituas
habituel	habituels
habituer	habituasse
habituer	habituasses
habituer	habituassent
habituer	habituassions
habituer	habituât
habituer	habituassiez
habituer	habituâtes
habituer	habitué
habituer	habituais
habituer	habituées
habituer	habituée
habituer	habituera
habituer	habitue
habituer	habituent
habituer	habituerai
habituer	habitueraient
habituer	habituerais
habituer	habituèrent
habituer	habituerez
habituer	habituerait
habituer	habituerions
habituer	habitueras
habituer	habitueriez
habituer	habitues
habituer	habituerons
habituer	habituez
habituer	habitués
habituer	habituions
habituer	habitueront
habituer	habituons
hâblerie	hâbleries
hâbleur	hâbleuse
hâbleur	hâbleuses
habituer	habituiez
hache	haches
hachage	hachages
hâbleur	hâbleurs
haché	hachés
haché	hachées
hache-légume	hache-légumes
haché	hachée
hacher	hachaient
hacher	hachais
hacher	hachait
hacher	hachâmes
hacher	hachant
hacher	hachai
hacher	hachasse
hacher	hachassent
hacher	hacha
hacher	hachas
hacher	hachassions
hacher	hachassiez
hacher	hachât
hacher	hachâtes
hacher	haché
hacher	hachasses
hacher	hachées
hacher	hachent
hacher	hachée
hacher	hacherai
hacher	hachera
hacher	hacheraient
hacher	hacherait
hacher	hacheras
hacher	hacherais
hacher	hachèrent
hacher	hacheriez
hacher	hacherions
hacher	hacherons
hacher	hacherez
hacher	hacheront
hacher	hachés
hacher	hache
hacher	haches
hacher	hachiez
hacher	hachions
hachereau	hachereaux
hacher	hachez
hacher	hachons
hacheur	hacheurs
hachisch	hachischs
hachette	hachettes
hachuré	hachurée
hachure	hachures
hachuré	hachurées
hachurer	hachuraient
hachurer	hachurait
hachoir	hachoirs
hachuré	hachurés
hachurer	hachurant
hachurer	hachurée
hachurer	hachuré
hachurer	hachurés
hachurer	hachurées
hacker	hackers
hacienda	haciendas
hachurer	hachure
hadal	hadaux
hadal	hadales
haddock	haddocks
hadronique	hadroniques
hagard	hagarde
hafnium	hafniums
hagard	hagards
hagard	hagardes
hagiographie	hagiographies
haï	haïe
hadal	hadale
haïk	haïks
haïkaï	haïkaïs
haie	haies
haïku	haïkus
haillon	haillons
haillonneux	haillonneuse
haillonneux	haillonneuses
haineux	haineuse
haineux	haineuses
haïr	haï
haine	haines
haï	haïs
haïr	haïe
haïr	haïmes
haïr	haïrai
haïr	haïes
haïr	haïraient
haïr	haïrait
haïr	haïra
haïr	haïrais
haïr	haïrez
haïr	haïras
haïr	haïrent
haïr	haïrions
haïr	haïront
haïr	hais
haïr	haïrons
