jabot	jabots
jacaranda	jacarandas
jacassant	jacassantes
jacassage	jacassages
jacassant	jacassants
jacasse	jacasses
jacassant	jacassante
jacassement	jacassements
jacasser	jacassai
jacasser	jacassaient
jacasser	jacassais
jacasser	jacassâmes
jacasser	jacassa
jacasser	jacassait
jacasser	jacassasse
jacasser	jacassassent
jacasser	jacassant
jacasser	jacassasses
jacasser	jacassassions
jacasser	jacassassiez
jacasser	jacassât
jacasser	jacassâtes
jacasser	jacassas
jacasser	jacassent
jacasser	jacasse
jacasser	jacassé
jacasser	jacasseraient
jacasser	jacasserais
jacasser	jacassera
jacasser	jacasserait
jacasser	jacassèrent
jacasser	jacasseras
jacasser	jacasseriez
jacasser	jacasserions
jacasser	jacasserai
jacasser	jacasserez
jacasser	jacasseront
jacasser	jacasses
jacasser	jacasserons
jacasser	jacassions
jacasser	jacassons
jacasser	jacassiez
jacasserie	jacasseries
jacasseur	jacasseurs
jacassier	jacassière
jacassier	jacassiers
jachère	jachères
jacinthe	jacinthes
jacasseur	jacasseuse
jack	jacks
jacket	jackets
jackpot	jackpots
jacobée	jacobées
jacasser	jacassez
jacobin	jacobine
jacobin	jacobines
jacobite	jacobites
jacobinisme	jacobinismes
jacquard	jacquards
jacquemart	jacquemarts
jactance	jactances
jacobin	jacobins
jacquerie	jacqueries
jacter	jactant
jacter	jactait
jacter	jacte
jacter	jactais
jacter	jacteraient
jacter	jacté
jacter	jactent
jacter	jacterais
jacter	jactions
jacuzzi	jacuzzis
jacter	jactez
jaffer	jaffa
jade	jades
jacter	jactes
jaguar	jaguars
jaillir	jaillie
jaillir	jailli
jaillir	jaillîmes
jaffer	jaffas
jaillir	jaillira
jaillir	jaillirai
jaillir	jailliraient
jaillir	jaillirait
jaillir	jailliras
jaillir	jaillirais
jaillir	jaillirez
jaillir	jaillirent
jaillir	jaillirions
jaillir	jaillirons
jaillir	jailliront
jaillir	jailliriez
jaillir	jaillis
jaillir	jaillies
jaillir	jaillissait
jaillir	jaillissaient
jaillir	jaillissais
jaillir	jaillissent
jaillir	jaillisse
jaillir	jaillisses
jaillir	jaillissiez
jaillir	jaillissions
jaillir	jaillissons
jaillir	jaillit
jaillir	jaillissez
jaillir	jaillissant
jaillissant	jaillissante
jaillissant	jaillissantes
jaillissant	jaillissants
jaillissement	jaillissements
jaïniste	jaïnistes
jalmince	jalminces
jalon	jalons
jaillir	jaillît
jalonné	jalonnée
jalonner	jalonna
jaillir	jaillîtes
jalonner	jalonnaient
jalonner	jalonnait
jalonner	jalonnâmes
jalonner	jalonnais
jalonner	jalonnas
jalonner	jalonnant
jalonner	jalonnasse
jalonner	jalonnassent
jalonner	jalonnasses
jalonner	jalonnassiez
jalonner	jalonnassions
jalonner	jalonnâtes
jalonner	jalonne
jalonner	jalonnât
jalonner	jalonnai
jalonner	jalonnée
jalonner	jalonnées
jalonner	jalonnera
jalonner	jalonné
jalonner	jalonnerai
jalonner	jalonnerais
jalonner	jalonnent
jalonner	jalonneraient
