quadra	quadras
quadragénaire	quadragénaires
quadragésimal	quadragésimaux
quadragésimal	quadragésimale
quadragésime	quadragésimes
quadrangulaire	quadrangulaires
quadragésimal	quadragésimales
quadrature	quadratures
quadrichromie	quadrichromies
quadriennal	quadriennale
quadriennal	quadriennales
quadrant	quadrants
quadriennal	quadriennaux
quadrilatéral	quadrilatérales
quadrilatéral	quadrilatérale
quadrige	quadriges
quadrilatéral	quadrilatéraux
quadrilatère	quadrilatères
quadrillage	quadrillages
quadrille	quadrilles
quadriller	quadrillai
quadriller	quadrillais
quadriller	quadrillaient
quadriller	quadrilla
quadriller	quadrillait
quadriller	quadrillâmes
quadriller	quadrillas
quadriller	quadrillant
quadriller	quadrillasse
quadriller	quadrillassent
quadriller	quadrillassiez
quadriller	quadrillassions
quadriller	quadrillasses
quadriller	quadrille
quadriller	quadrillât
quadriller	quadrillâtes
quadriller	quadrillées
quadriller	quadrillé
quadriller	quadrillée
quadriller	quadrillerai
quadriller	quadrillera
quadriller	quadrilleraient
quadriller	quadrillerais
quadriller	quadrilleras
quadriller	quadrillent
quadriller	quadrillèrent
quadriller	quadrilleriez
quadriller	quadrillerait
quadriller	quadrillerons
quadriller	quadrillerions
quadriller	quadrillerez
quadriller	quadrilleront
quadriller	quadrillez
quadriller	quadrillés
quadriller	quadrillions
quadriller	quadrilliez
quadriller	quadrillons
quadrimoteur	quadrimoteurs
quadripartite	quadripartites
quadriréacteur	quadriréacteurs
quadriplace	quadriplaces
quadrisyllabe	quadrisyllabes
quadriller	quadrilles
quadrupède	quadrupèdes
quadruplé	quadruplées
quadruplé	quadruplée
quadruplée	quadruplées
quadruple	quadruples
quadruplé	quadruplés
quadrupler	quadruple
quadrupler	quadruplait
quadrupler	quadruplés
quai	quais
quadrupler	quadruplé
quaker	quakers
quaker	quakresse
quaker	quakresses
qualifiable	qualifiables
qualifiant	qualifiantes
qualifiant	qualifiante
qualificatif	qualificatifs
quadrupler	quadrupla
qualifiant	qualifiants
qualificatif	qualificatives
qualification	qualifications
qualifié	qualifiée
qualificatif	qualificative
qualifié	qualifiées
qualifier	qualifiai
qualifié	qualifiés
qualifier	qualifiaient
qualifier	qualifia
qualifier	qualifiais
qualifier	qualifiâmes
qualifier	qualifias
qualifier	qualifiait
qualifier	qualifiant
qualifier	qualifiasse
qualifier	qualifiassiez
qualifier	qualifiassions
qualifier	qualifiât
qualifier	qualifiasses
qualifier	qualifiassent
qualifier	qualifié
qualifier	qualifiâtes
qualifier	qualifiée
qualifier	qualifiées
qualifier	qualifie
qualifier	qualifient
qualifier	qualifierai
qualifier	qualifieraient
qualifier	qualifierait
qualifier	qualifierais
qualifier	qualifièrent
qualifier	qualifiera
qualifier	qualifieras
qualifier	qualifierions
qualifier	qualifieriez
qualifier	qualifierez
qualifier	qualifierons
qualifier	qualifiés
qualifier	qualifies
qualifier	qualifieront
qualifier	qualifiiez
qualifier	qualifiions
qualitatif	qualitatifs
qualifier	qualifiez
qualitatif	qualitative
qualitatif	qualitatives
quantième	quantièmes
qualifier	qualifions
quantifier	quantifiai
qualité	qualités
quantifier	quantifiaient
quantifier	quantifiait
quantifier	quantifia
quantifier	quantifiais
quantifier	quantifiâmes
quantifier	quantifiasse
quantifier	quantifiant
quantifier	quantifiassent
quantifier	quantifias
quantifier	quantifiassiez
quantifier	quantifiassions
quantifier	quantifiât
quantifier	quantifiasses
quantifier	quantifiâtes
quantifier	quantifiée
quantifier	quantifie
quantifier	quantifié
quantifier	quantifiera
quantifier	quantifiées
quantifier	quantifieraient
quantifier	quantifierais
quantifier	quantifierait
quantifier	quantifieras
quantifier	quantifient
quantifier	quantifièrent
quantifier	quantifierai
quantifier	quantifieriez
quantifier	quantifierions
quantifier	quantifieront
quantifier	quantifierez
quantifier	quantifierons
quantifier	quantifiez
quantifier	quantifiés
quantifier	quantifiions
quantifier	quantifions
quantifier	quantifies
quantifier	quantifiiez
quantitatif	quantitatifs
quantitatif	quantitatives
quantité	quantités
quantitatif	quantitative
quantum	quanta
quantique	quantiques
quarantaine	quarantaines
quarante-cinquième	quarante-cinquièmes
quarante-deuxième	quarante-deuxièmes
quarante-et-unième	quarante-et-unièmes
quarante-huitième	quarante-huitièmes
quarantenaire	quarantenaires
quarante-huitard	quarante-huitards
quarante-neuvième	quarante-neuvièmes
quarante-quatrième	quarante-quatrièmes
quarante-sixième	quarante-sixièmes
quarante-septième	quarante-septièmes
