yacht	yachts
y	yu
yachting	yachtings
yacht-club	yacht-clubs
yachtman	yachtmans
yachtsman	yachtsmans
yachtsman	yachtsmen
yachtman	yachtmen
yack	yacks
yakuza	yakuzas
yak	yaks
yali	yalis
yaourt	yaourts
yaourtière	yaourtières
yankee	yankees
yatagan	yatagans
yearling	yearlings
yéménite	yéménites
yanqui	yanquis
yard	yards
yèble	yèbles
yeoman	yeomans
yeoman	yeomen
yéyé	yéyés
ylang-ylang	ylangs-ylangs
yod	yods
yeuse	yeuses
yodler	yodlait
yen	yens
yoga	yogas
yogi	yogis
yogourt	yogourts
yougoslave	yougoslaves
yole	yoles
youpin	youpine
yourte	yourtes
ypérite	ypérites
youyou	youyous
ypréau	ypréaux
ysopet	ysopets
yttrium	yttriums
yoyo	yoyos
yucca	yuccas
yuppie	yuppies
yu	y
yuan	yuans
