âcre	âcres
âcreté	âcretés
âge	âges
âgé	âgée
âgé	âgées
âgé	âgés
âme	âmes
âne	ânes
âne	ânesse
âne	ânesses
ânerie	âneries
ânesse	ânesses
ânon	ânons
ânonner	ânonna
ânonnement	ânonnements
ânonner	ânonnai
ânonner	ânonnaient
ânonner	ânonnais
ânonner	ânonnâmes
ânonner	ânonnant
ânonner	ânonnasse
ânonner	ânonnassent
ânonner	ânonnait
ânonner	ânonnasses
ânonner	ânonnassions
ânonner	ânonnassiez
ânonner	ânonnas
ânonner	ânonnât
ânonner	ânonnâtes
ânonner	ânonné
ânonner	ânonnée
ânonner	ânonnées
ânonner	ânonnera
ânonner	ânonneraient
ânonner	ânonne
ânonner	ânonnent
ânonner	ânonnerais
ânonner	ânonnerai
ânonner	ânonnerait
ânonner	ânonnèrent
ânonner	ânonneras
ânonner	ânonneriez
ânonner	ânonnerez
ânonner	ânonnerions
ânonner	ânonnés
ânonner	ânonnerons
ânonner	ânonneront
ânonner	ânonnez
ânonner	ânonniez
ânonner	ânonnions
ânonner	ânonnons
ânonner	ânonnes
âpre	âpres
âpreté	âpretés
âtre	âtres
